out_acc_num,in_currency_amount,net_worth,credit_score,ratio_cash_deposits,ratio_cash_withdrawals,ratio_incoming_international,ratio_outgoing_international,label
829,13432,0.9564,9,0.1766,0.3597,0.3408,0.7625,1
830,9929,0.4418,3,0.446,0.1556,0.8158,0.1809,1
831,11232,0.4305,8,0.6202,0.3392,0.052,0.076,1
832,19430,0.3753,2,0.7297,0.9791,0.6291,0.0355,1
833,12723,0.056,3,0.8066,0.9365,0.5758,0.4092,0
834,16869,0.3954,9,0.9445,0.8769,0.1015,0.8869,0
835,12369,0.8949,7,0.5863,0.2413,0.8271,0.8228,1
836,13937,0.3787,6,0.8993,0.6669,0.2336,0.1703,0
837,11405,0.1159,10,0.9833,0.5046,0.5237,0.2013,1
838,9548,0.7292,3,0.1699,0.5877,0.9134,0.7211,0
839,19354,0.9982,1,0.7197,0.5127,0.4947,0.316,0
840,18077,0.535,9,0.8058,0.5967,0.3544,0.7915,0
841,12560,0.074,4,0.6542,0.4055,0.0978,0.3776,0
842,17979,0.2192,7,0.5895,0.9411,0.3899,0.7052,1
843,16001,0.8064,7,0.8143,0.3036,0.5647,0.2634,1
844,15091,0.9914,2,0.5024,0.5285,0.2771,0.8055,1
845,8921,0.256,10,0.9605,0.3771,0.0884,0.9257,1
846,9972,0.5722,1,0.9785,0.063,0.6854,0.9645,1
847,14708,0.9835,10,0.9376,0.8008,0.9235,0.1437,1
848,12661,0.9552,1,0.2843,0.9824,0.5273,0.1515,0
849,19511,0.4428,9,0.1486,0.6461,0.4494,0.4707,1
850,11622,0.9148,6,0.3599,0.3683,0.6038,0.9856,0
851,12213,0.1021,1,0.0917,0.0722,0.9664,0.0833,0
852,16116,0.4029,6,0.0714,0.4978,0.149,0.81,1
853,16185,0.2404,1,0.8229,0.2086,0.4879,0.6958,0
854,11129,0.4189,9,0.765,0.2615,0.6557,0.4812,1
855,19942,0.2189,7,0.5561,0.8654,0.5957,0.9903,0
856,19095,0.7095,1,0.3859,0.7365,0.1155,0.9229,1
857,16683,0.4497,2,0.6018,0.0918,0.2018,0.0551,1
858,8326,0.9336,4,0.5246,0.8116,0.1422,0.3022,1
859,18865,0.1101,3,0.8419,0.6196,0.5403,0.6365,1
860,10692,0.2337,1,0.1544,0.922,0.872,0.3985,1
861,10972,0.8449,4,0.6467,0.8325,0.6445,0.2656,1
862,15005,0.3067,9,0.3478,0.3457,0.3208,0.8417,1
863,9483,0.1727,10,0.866,0.55,0.4464,0.9502,0
864,9586,0.6181,3,0.5458,0.204,0.3402,0.3796,1
865,13913,0.6597,6,0.3617,0.1829,0.1208,0.4415,1
866,14664,0.9868,9,0.688,0.4585,0.3095,0.2051,0
867,11632,0.3897,2,0.689,0.3915,0.1958,0.1331,0
868,12822,0.4702,5,0.3484,0.5346,0.0749,0.8785,1
869,17801,0.1065,1,0.8702,0.9242,0.8564,0.8408,1
870,11396,0.823,10,0.3221,0.7619,0.0546,0.2483,1
871,14633,0.5284,10,0.6982,0.4799,0.5987,0.9399,0
872,8715,0.2439,8,0.4191,0.6608,0.7883,0.2735,0
873,9653,0.3742,9,0.4956,0.2321,0.9254,0.5819,0
874,11266,0.4971,4,0.522,0.1864,0.1833,0.6656,1
875,17225,0.134,1,0.5007,0.1061,0.3502,0.2633,1
876,18725,0.952,4,0.7791,0.5202,0.9334,0.259,1
877,15824,0.4018,8,0.7423,0.6648,0.4126,0.0972,0
878,8659,0.6505,2,0.2472,0.4229,0.7336,0.3543,0
879,12353,0.72,2,0.4719,0.9951,0.8383,0.4493,0
880,9427,0.7211,3,0.2367,0.1587,0.793,0.324,1
881,16737,0.7582,8,0.0502,0.7421,0.0386,0.4133,0
882,17782,0.7181,8,0.2264,0.4966,0.2947,0.0203,1
883,11725,0.5367,5,0.6602,0.7396,0.7918,0.1515,1
884,9758,0.5318,5,0.8115,0.4423,0.4829,0.3972,1
885,17903,0.2366,9,0.5532,0.228,0.3894,0.1829,1
886,16446,0.7864,2,0.5103,0.0777,0.463,0.0709,0
887,9466,0.0565,10,0.2032,0.3609,0.9073,0.0331,1
888,16298,0.7367,5,0.8972,0.2373,0.6507,0.2335,0
889,15923,0.8218,9,0.203,0.869,0.8782,0.3148,1
890,8642,0.138,2,0.4149,0.3334,0.1618,0.5915,1
891,16265,0.4317,3,0.3355,0.3855,0.6262,0.8906,1
892,15232,0.156,10,0.4362,0.9777,0.3083,0.4388,1
893,8409,0.9087,1,0.9495,0.0199,0.5326,0.5484,0
894,17735,0.3285,8,0.2491,0.4256,0.2536,0.6005,1
895,17999,0.2912,2,0.5833,0.0912,0.0779,0.9745,0
896,12011,0.648,2,0.8205,0.3275,0.4111,0.3033,0
897,13452,0.1599,8,0.8677,0.3531,0.9056,0.567,0
898,12101,0.2301,1,0.5012,0.1735,0.5377,0.5332,0
899,8943,0.2176,4,0.8131,0.6406,0.5971,0.1037,0
900,18552,0.933,1,0.5658,0.1015,0.6123,0.2508,0
901,19321,0.5551,9,0.6129,0.6782,0.1955,0.5753,0
902,14524,0.683,2,0.7116,0.8465,0.1066,0.043,0
903,10342,0.4428,5,0.8523,0.5259,0.7143,0.509,1
904,14315,0.5195,7,0.1357,0.2877,0.0801,0.9981,1
905,19735,0.975,8,0.4518,0.0707,0.1339,0.201,1
906,19985,0.5841,9,0.1846,0.5689,0.1361,0.5558,0
907,11989,0.8832,4,0.3082,0.6886,0.1302,0.1834,1
908,9045,0.6417,9,0.4896,0.8674,0.02,0.205,0
909,18090,0.6797,8,0.343,0.5184,0.4706,0.4214,1
910,11671,0.8412,9,0.627,0.3982,0.2109,0.2772,1
911,10737,0.9722,9,0.9248,0.403,0.4036,0.161,0
912,13142,0.9492,2,0.4534,0.783,0.5767,0.7055,1
913,10653,0.4013,9,0.5088,0.3347,0.8747,0.8358,0
914,9808,0.9802,8,0.4169,0.35,0.7563,0.7087,1
915,15288,0.7407,1,0.9457,0.9599,0.2665,0.7402,0
916,10547,0.0878,1,0.2105,0.4252,0.7714,0.6889,0
917,18565,0.1255,10,0.5421,0.8672,0.9362,0.1819,1
918,13897,0.0671,8,0.8057,0.6331,0.6795,0.0764,1
919,13368,0.1093,8,0.0442,0.8049,0.0675,0.5441,0
920,16574,0.059,2,0.1095,0.3367,0.4826,0.8091,0
921,16039,0.0536,1,0.7102,0.2581,0.5329,0.1949,1
922,14585,0.2733,5,0.0336,0.1131,0.4762,0.0349,0
923,15141,0.6223,7,0.1631,0.5698,0.0554,0.6607,1
924,9623,0.808,4,0.469,0.3116,0.4406,0.44,0
925,17192,0.5942,1,0.0976,0.3332,0.6402,0.1399,0
926,8277,0.77,3,0.8429,0.5225,0.4393,0.6089,1
927,10015,0.6136,5,0.5024,0.9351,0.1797,0.6097,1
928,11313,0.979,3,0.2128,0.2114,0.3238,0.5534,0
929,17978,0.9099,2,0.56,0.1838,0.9736,0.8693,1
930,14141,0.1828,8,0.7489,0.6157,0.8337,0.2227,0
931,11224,0.6446,4,0.4584,0.2381,0.5401,0.511,1
932,19533,0.4668,4,0.4072,0.0029,0.3003,0.9819,1
933,13526,0.4416,6,0.3977,0.973,0.2207,0.2823,1
934,17940,0.3962,5,0.8965,0.4397,0.1457,0.4619,1
935,13000,0.6749,2,0.2646,0.2117,0.9197,0.1459,1
936,13666,0.9372,2,0.5246,0.9901,0.2076,0.9306,0
937,12579,0.2628,10,0.0873,0.4739,0.5461,0.1537,0
938,11994,0.4373,9,0.0578,0.8283,0.3024,0.4988,1
939,8446,0.1389,4,0.6126,0.3001,0.3917,0.5602,0
940,11935,0.2359,3,0.7391,0.9945,0.5898,0.8892,0
941,17080,0.9622,10,0.3755,0.0102,0.2864,0.392,0
942,18907,0.6542,2,0.7359,0.9873,0.2132,0.3543,0
943,15794,0.4926,4,0.5617,0.3221,0.2145,0.9435,1
944,10171,0.7627,7,0.8932,0.7353,0.3643,0.562,1
945,17579,0.0023,5,0.8727,0.7914,0.8966,0.4242,0
946,17879,0.3108,9,0.0228,0.5158,0.6747,0.6219,0
947,14483,0.7953,8,0.766,0.6735,0.4668,0.3152,0
948,18678,0.8359,4,0.4102,0.8379,0.7112,0.5861,1
949,9165,0.2896,7,0.9988,0.5062,0.3595,0.2637,1
950,16338,0.7845,3,0.4456,0.3876,0.9578,0.7514,0
951,11164,0.0147,9,0.9669,0.7444,0.6376,0.3762,1
952,12513,0.1037,5,0.5028,0.1113,0.8866,0.0139,1
953,9911,0.1531,4,0.6069,0.3852,0.2758,0.1493,0
954,18519,0.1785,6,0.2908,0.2007,0.4631,0.1298,0
955,11789,0.1365,10,0.204,0.8914,0.7128,0.0951,0
956,13067,0.7191,7,0.2209,0.1857,0.582,0.225,0
957,10570,0.9599,7,0.6095,0.8046,0.6241,0.6405,0
958,17126,0.008,8,0.5849,0.2362,0.2719,0.9056,0
959,10886,0.3564,4,0.5383,0.5322,0.9745,0.7724,0
960,17257,0.3861,7,0.8818,0.5394,0.8803,0.1897,1
961,15533,0.9638,10,0.4347,0.3956,0.0842,0.2556,1
962,13291,0.7642,10,0.3494,0.8377,0.1657,0.0573,1
963,15028,0.4102,8,0.9498,0.8287,0.4451,0.3492,1
964,18195,0.6274,6,0.0222,0.1089,0.8273,0.0942,0
965,18363,0.0728,9,0.9729,0.1362,0.1835,0.2171,0
966,9664,0.9023,8,0.3475,0.2855,0.9343,0.1555,0
967,10010,0.1232,3,0.3341,0.4655,0.0515,0.899,1
968,11254,0.0316,1,0.9865,0.0179,0.1619,0.0676,0
969,16512,0.8815,5,0.9944,0.5319,0.5113,0.2222,1
970,16591,0.283,7,0.068,0.283,0.8668,0.1753,0
971,16518,0.0259,6,0.9045,0.4298,0.4037,0.2994,0
972,10761,0.1533,8,0.8668,0.2768,0.0264,0.7295,0
973,18976,0.1108,1,0.6524,0.6729,0.5345,0.0225,0
974,12922,0.815,2,0.3342,0.1055,0.9211,0.9838,0
975,14364,0.0843,4,0.8108,0.2505,0.5695,0.9471,0
976,14556,0.9881,1,0.6475,0.1721,0.9346,0.092,1
977,16609,0.1224,2,0.5962,0.3336,0.9473,0.9727,0
978,14951,0.8138,2,0.2634,0.1758,0.2779,0.046,1
979,14254,0.281,4,0.9285,0.0267,0.1597,0.0787,0
980,19662,0.385,6,0.544,0.4719,0.4554,0.2489,1
981,16504,0.0004,2,0.9472,0.8513,0.6508,0.8517,0
982,15029,0.3814,8,0.0478,0.3111,0.2849,0.7101,1
983,18090,0.0112,5,0.8958,0.6084,0.2374,0.4957,1
984,12633,0.8104,8,0.4278,0.4538,0.0052,0.9322,1
985,18027,0.9924,10,0.1919,0.9583,0.2981,0.7504,0
986,12403,0.2006,5,0.6005,0.1687,0.0271,0.831,1
987,9099,0.6776,4,0.7471,0.1478,0.6753,0.4194,1
988,16947,0.7104,5,0.2801,0.3018,0.9265,0.9181,1
989,11640,0.5848,2,0.6333,0.467,0.5525,0.4024,0
990,14049,0.512,3,0.071,0.9492,0.523,0.3409,0
991,11054,0.5252,4,0.1771,0.6249,0.9303,0.4844,0
992,13072,0.2647,8,0.1712,0.9628,0.4627,0.2436,0
993,19636,0.1264,9,0.2233,0.2501,0.0111,0.714,1
994,11778,0.2571,6,0.9346,0.8993,0.9399,0.0303,1
995,11044,0.63,2,0.1897,0.2899,0.5353,0.8136,0
996,11971,0.0887,9,0.9665,0.3164,0.4573,0.8918,0
997,11743,0.4644,6,0.8414,0.4263,0.4402,0.364,0
998,11238,0.4461,4,0.8982,0.933,0.5094,0.9689,1
999,16276,0.8777,3,0.056,0.8405,0.8292,0.5202,0
1000,18256,0.3546,8,0.6023,0.5995,0.9699,0.0512,1
